"exchange","bid","ask","time","created_at"
"coincheck","486705.0","486799.0","1502783894","2017-08-15 07:58:14 UTC"
"zaif","486380.0","486495.0","1502783894","2017-08-15 07:58:14 UTC"
"coincheck","486708.0","486800.0","1502783896","2017-08-15 07:58:16 UTC"
"zaif","486385.0","486720.0","1502783896","2017-08-15 07:58:16 UTC"
"coincheck","486710.0","486800.0","1502783897","2017-08-15 07:58:17 UTC"
"zaif","486445.0","486655.0","1502783898","2017-08-15 07:58:18 UTC"
"coincheck","486710.0","486777.0","1502783899","2017-08-15 07:58:19 UTC"
"zaif","486495.0","486580.0","1502783899","2017-08-15 07:58:19 UTC"
"coincheck","486715.0","486800.0","1502783901","2017-08-15 07:58:21 UTC"
"zaif","486775.0","486780.0","1502783901","2017-08-15 07:58:21 UTC"
"coincheck","486717.0","486800.0","1502783902","2017-08-15 07:58:22 UTC"
"zaif","486495.0","486570.0","1502783902","2017-08-15 07:58:22 UTC"
"coincheck","486720.0","486800.0","1502783904","2017-08-15 07:58:24 UTC"
"zaif","486495.0","486570.0","1502783904","2017-08-15 07:58:24 UTC"
"coincheck","486721.0","486766.0","1502783905","2017-08-15 07:58:25 UTC"
"zaif","486495.0","486570.0","1502783906","2017-08-15 07:58:26 UTC"
"coincheck","486721.0","486766.0","1502783908","2017-08-15 07:58:28 UTC"
"zaif","487220.0","487925.0","1502783908","2017-08-15 07:58:28 UTC"
"coincheck","486762.0","486799.0","1502783910","2017-08-15 07:58:30 UTC"
"zaif","486495.0","487925.0","1502783910","2017-08-15 07:58:30 UTC"
"coincheck","486765.0","486775.0","1502783912","2017-08-15 07:58:32 UTC"
"zaif","486495.0","487925.0","1502783912","2017-08-15 07:58:32 UTC"
"coincheck","486767.0","486793.0","1502783913","2017-08-15 07:58:33 UTC"
"zaif","486635.0","487000.0","1502783914","2017-08-15 07:58:34 UTC"
"coincheck","486771.0","486798.0","1502783915","2017-08-15 07:58:35 UTC"
"zaif","486630.0","487000.0","1502783916","2017-08-15 07:58:36 UTC"
